Time Sent,Campaign Name,Total Sent,Open Rate,Industry Standard Open Rate,Total Unique Opens,Mobile Open Rate,Desktop Open Rate,Click Through Rate,Industry Standard Click Through Rate,Total Unique Clicks,Bounce Rate,Total Bounces,Unsubscribe Rate,Total Unsubscribes,Customer List,Discount
"Sat, Jun 7, 2014 1:16 PM",Awareness1June2014,70,91.30%,39.41%,63,0.00%,100.00%,30.20%,9.78%,19,1.40%,1,0.00%,0,Customer Rewards Program Member,
"Thu, Feb 22, 2018 3:51 PM",Discount2February2018,3462,25.40%,39.41%,848,54.80%,45.20%,7.40%,9.78%,63,3.40%,118,0.10%,1,Master,0.2
"Thu, Nov 10, 2016 5:32 AM",Discount1November2016,3917,23.20%,39.41%,814,61.20%,38.80%,6.80%,9.78%,55,10.40%,406,0.20%,8,Master,0.2
"Sat, Mar 17, 2018 9:42 PM",Awareness1March2018,283,60.20%,39.41%,165,57.00%,43.00%,21.20%,9.78%,35,3.20%,9,0.00%,0,Target Demographic,
"Sat, Mar 24, 2018 9:32 AM",Awareness2March2018,4,75.00%,39.41%,3,38.20%,61.80%,33.30%,9.78%,1,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Wed, Feb 7, 2018 11:54 PM",DiscountFebruary2018,3615,24.90%,39.41%,865,55.10%,44.90%,6.80%,9.78%,59,4.00%,146,0.10%,5,Master,0.75
"Wed, Jan 18, 2017 5:33 AM",Discount3January2017,3928,24.90%,39.41%,872,57.20%,42.80%,6.70%,9.78%,58,10.90%,428,0.10%,3,Master,0.5
"Sat, May 17, 2014 10:08 AM",Awareness3May2014,224,39.30%,39.41%,81,0.00%,0.00%,1.20%,9.78%,1,8.00%,18,0.00%,0,Customer Rewards Program Member,
"Sat, May 17, 2014 9:57 AM",Promotion4May2014,180,40.50%,39.41%,68,0.00%,0.00%,0.00%,9.78%,0,6.70%,12,0.00%,0,Target Demographic,
"Tue, Apr 14, 2015 1:58 PM",Discount1April2015,37,83.80%,39.41%,31,100.00%,0.00%,6.50%,9.78%,2,0.00%,0,0.00%,0,Customer Rewards Program Member,0.4
"Wed, Jan 31, 2018 2:08 PM",Discount8January2018,3645,20.20%,39.41%,713,50.00%,50.00%,6.50%,9.78%,46,3.30%,119,0.10%,4,Master,0.3
"Sat, Nov 12, 2016 4:08 AM",Promotion1November2016,3816,17.10%,39.41%,583,60.10%,39.90%,2.20%,9.78%,13,10.60%,405,0.10%,3,Master,
"Sat, Nov 18, 2017 8:46 AM",Promotion1November2017,48,31.30%,39.41%,15,71.10%,28.90%,6.70%,9.78%,1,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Sat, May 24, 2014 9:58 AM",Discount7May2014,3634,24.90%,39.41%,729,0.00%,100.00%,6.40%,9.78%,47,19.60%,711,0.10%,1,Master,0.3
"Sat, Oct 14, 2017 5:07 PM",Awareness2October2017,3628,24.40%,39.41%,872,65.60%,34.40%,4.60%,9.78%,40,1.40%,50,0.10%,2,Master,
"Sat, Sep 3, 2016 4:10 AM",PromotionSeptember2016,3835,25.00%,39.41%,865,65.30%,34.70%,4.90%,9.78%,42,9.90%,380,0.20%,8,Master,
"Sun, Aug 20, 2017 6:04 AM",Awareness2August2017,3880,24.90%,39.41%,748,59.00%,41.00%,3.70%,9.78%,28,22.60%,875,0.10%,5,Master,
"Thu, Mar 20, 2014 9:48 AM",Discount1March2014,3721,34.40%,39.41%,1041,0.00%,100.00%,6.40%,9.78%,67,18.60%,691,0.30%,13,Master,0.3
"Wed, Nov 4, 2015 10:29 AM",DiscountNovember2015,3905,26.70%,39.41%,968,48.80%,51.20%,6.40%,9.78%,62,7.10%,276,0.10%,1,Master,0.3
"Sun, Jan 14, 2018 7:17 PM",Promotion3January2018,33,42.40%,39.41%,14,52.20%,47.80%,7.10%,9.78%,1,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Sun, Jan 7, 2018 10:11 AM",Promotion1January2018,3789,24.40%,39.41%,899,51.60%,48.40%,4.60%,9.78%,41,2.90%,110,0.10%,5,Master,
"Sun, Jul 26, 2015 1:25 PM",Awareness1July2015,178,82.00%,39.41%,146,51.40%,48.60%,2.70%,9.78%,4,0.00%,0,0.00%,0,Target Demographic,
"Sat, Feb 4, 2017 12:40 PM",DiscountFebruary2017,3921,25.00%,39.41%,874,62.80%,37.20%,6.20%,9.78%,54,10.80%,424,0.10%,2,Master,0.5
"Thu, Apr 5, 2018 4:25 PM",Discount1July2018,185,36.60%,39.41%,67,51.80%,48.20%,6.00%,9.78%,4,1.10%,2,0.00%,0,Target Demographic,0.3
"Fri, Mar 31, 2017 4:10 PM",Discount3March2017,59,32.70%,39.41%,18,60.90%,39.10%,5.60%,9.78%,1,6.80%,4,0.00%,0,Customer Rewards Program Member,0.3
"Sun, Mar 18, 2018 9:06 PM",Promotion2March2018,6,83.30%,39.41%,5,7.70%,92.30%,20.00%,9.78%,1,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Sun, Mar 25, 2018 10:13 PM",Promotion3March2018,276,54.30%,39.41%,145,52.80%,47.20%,17.20%,9.78%,25,3.30%,9,0.00%,0,Target Demographic,
"Mon, Jun 13, 2016 8:30 AM",Discount2June2016,19,94.70%,39.41%,18,43.20%,56.80%,5.60%,9.78%,1,0.00%,0,0.00%,0,Customer Rewards Program Member,0.3
"Sun, Mar 4, 2018 9:35 PM",PromotionMarch2018,32,53.10%,39.41%,17,51.60%,48.40%,29.40%,9.78%,5,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Sun, Mar 6, 2016 6:19 PM",PromotionMarch2016,3895,28.10%,39.41%,1001,62.20%,37.80%,7.20%,9.78%,72,8.50%,330,0.20%,7,Master,
"Sun, May 15, 2016 1:25 PM",Awareness1May2016,3921,28.60%,39.41%,1026,64.40%,35.60%,11.30%,9.78%,116,8.50%,333,0.20%,6,Master,
"Sat, Apr 12, 2014 3:10 PM",Discount2April2014,241,54.00%,39.41%,128,0.00%,100.00%,5.50%,9.78%,7,1.70%,4,0.00%,0,Customer Rewards Program Member,0.3
"Sun, May 7, 2017 2:34 PM",AwarenessMay2017,3849,23.80%,39.41%,810,58.00%,42.00%,8.60%,9.78%,70,11.70%,449,0.10%,3,Master,
"Sun, May 8, 2016 12:33 PM",Promotion1May2016,3921,23.20%,39.41%,833,54.20%,45.80%,8.40%,9.78%,70,8.30%,327,0.10%,3,Master,
"Sun, Oct 8, 2017 2:52 PM",Promotion1October2017,173,62.00%,39.41%,106,50.80%,49.20%,12.30%,9.78%,13,1.20%,2,0.00%,0,Target Demographic,
"Thu, Aug 27, 2015 10:10 AM",Discount4August2015,236,70.30%,39.41%,166,48.20%,51.80%,5.40%,9.78%,9,0.00%,0,0.00%,0,Customer Rewards Program Member,0.3
"Mon, Oct 20, 2014 4:32 PM",Discount1October2014,4393,26.10%,39.41%,930,12.50%,87.50%,5.30%,9.78%,49,19.00%,836,0.10%,5,Master,0.3
"Thu, Jan 25, 2018 6:03 AM",Discount7January2018,3561,22.50%,39.41%,776,53.50%,46.50%,5.30%,9.78%,41,3.10%,110,0.10%,2,Master,0.3
"Thu, Apr 24, 2014 1:30 PM",Promotion3April2014,31,83.90%,39.41%,26,100.00%,0.00%,0.00%,9.78%,0,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Thu, Apr 24, 2014 2:06 PM",Awareness3April2014,4476,39.00%,39.41%,1441,20.00%,80.00%,1.00%,9.78%,14,17.50%,783,0.40%,16,Master,
"Thu, Jun 30, 2016 11:43 AM",Discount4June2016,193,61.90%,39.41%,117,54.30%,45.70%,5.10%,9.78%,6,2.10%,4,0.00%,0,Target Demographic,0.3
"Thu, Apr 30, 2015 8:08 AM",Promotion3April2015,64,78.10%,39.41%,50,10.00%,90.00%,2.00%,9.78%,1,0.00%,0,0.00%,0,Customer Rewards Program Member,
"Tue, May 9, 2017 5:34 PM",Discount1May2017,3873,25.90%,39.41%,888,57.00%,43.00%,5.10%,9.78%,45,11.50%,447,0.10%,4,Master,0.3
"Fri, May 26, 2017 8:57 AM",Discount4May2017,132,60.60%,39.41%,80,44.10%,55.90%,5.00%,9.78%,4,0.00%,0,0.00%,0,Customer Rewards Program Member,0.3
"Thu, Apr 5, 2018 6:03 AM",AwarenessJune2018,3614,18.20%,39.41%,632,59.20%,40.80%,9.70%,9.78%,61,4.00%,145,0.10%,5,Master,
"Thu, Apr 6, 2017 4:26 PM",Awareness1April2017,228,66.50%,39.41%,149,58.00%,42.00%,8.10%,9.78%,12,1.80%,4,0.00%,0,Customer Rewards Program Member,
"Sat, Jun 3, 2017 3:52 PM",DiscountJune2017,3898,20.90%,39.41%,722,61.20%,38.80%,5.00%,9.78%,36,11.60%,451,0.10%,3,Master,0.4
"Tue, Jul 5, 2016 3:50 PM",DiscountJuly2016,3937,23.10%,39.41%,825,53.20%,46.80%,5.00%,9.78%,41,9.30%,365,0.10%,3,Master,0.75
"Thu, Aug 24, 2017 9:29 PM",Promotion3August2017,3966,24.80%,39.41%,764,55.20%,44.80%,4.70%,9.78%,36,22.20%,880,0.10%,2,Master,
"Wed, May 17, 2017 3:07 PM",Discount3May2017,3849,21.00%,39.41%,713,50.70%,49.30%,4.80%,9.78%,34,11.60%,448,0.10%,1,Master,0.4
